Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California, _Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb- big.jpg
King's Academy,"A high school in Madaba, Jordan I have attended",31.7537,35.8471,https://en.wikipedia.org/wiki/King%27s_Academy,https://images.app.goo.gl/WHmw1WSCqb4y7GnRA
May Fourth Square,A famous scenic square in my city and I visited often. ,36.062,120.38,https://en.wikipedia.org/wiki/May_Fourth_Square,https://images.app.goo.gl/BvHRn5tTXHsgyPyE6
Drum Tower of Beijing,A bell tower built in 1420 as a historical building in Beijing,39.9412,116.3959,https://en.wikipedia.org/wiki/Drum_Tower_and_Bell_Tower_of_Beijing,https://images.app.goo.gl/npURWwaUvy8BYrv77
Allianz Arena ,The home stadium of Bayern Munich in Germany. I dream to be there.,48.2188,11.6247,https://en.wikipedia.org/wiki/Allianz_Arena,https://images.app.goo.gl/HoTpGsuXcM3bDtU38
Dubai International Airport,"One of the most luxurious airports I have been, and I love its food there.",25.2532,55.3657,https://en.wikipedia.org/wiki/Dubai_International_Airport,https://images.app.goo.gl/UgKK7fpdaesRMhtT6
